NAME,COUNTYFP,GRID_ID,YEAR,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT,COUNTY_AREA,POPDENSITY,POPDENSITY_MALE,POPDENSITY_FEM,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared,Unemployment,medianHHI2018
Siskiyou,93,19,1995,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,6,0,1,7,5,0.17,47560
Siskiyou,93,19,1996,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,10,2,3,15,2,0.17,47560
Siskiyou,93,19,1997,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,6,0,0,6,1,0.17,47560
Siskiyou,93,19,1998,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,7,4,1,12,3,0.17,47560
Siskiyou,93,19,1999,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,3,1,1,5,1,0.17,47560
Siskiyou,93,19,2000,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,4,2,0,6,2,0.17,47560
Siskiyou,93,19,2001,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,6,3,3,12,8,0.17,47560
Siskiyou,93,19,2002,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,6,4,4,14,5,0.17,47560
Siskiyou,93,19,2003,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,2,2,0,4,0,0.17,47560
Siskiyou,93,19,2004,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,9,6,0,15,4,0.17,47560
Siskiyou,93,19,2005,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,3,2,0,5,2,0.17,47560
Siskiyou,93,19,2006,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,9,5,1,15,4,0.17,47560
Siskiyou,93,19,2007,47.0,45.7,48.2,0.23994679541363317,0.1864439967196172,0.29956808442843874,0.5017501979176425,0.2985143444287472,29419021778.687717,1.526223418908079,0.7612421707449093,0.7649812481631696,5,8,1,14,10,0.17,47560
Humboldt,23,3,2008,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,20,10,10,40,8,0.106,49471
Humboldt,23,3,2009,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.084950270907567,0.9689912904168121,18282930068.834213,7.362660114828262,3.6968363246772364,3.665823790151026,28,13,10,51,5,0.106,49471
Humboldt,23,3,2010,37.0,35.9,38.5,1.1421035863170836,1.2687244283420847,1.9198235659082243,2.0802464296919516,0.9735310441481619,18282930068.834213,7.384429054407506,3.707939577779212,3.6764894766282943,26,14,24,64,13,0.106,49471
