NAME,COUNTYFP,GEOID,ALAND,AWATER,COUNTY_AREA,GRID_AREA,GRID_ID,COUNTY_GRID_OVLP_AREA,COUNTY_GRID_OVLP_PROP,FID,geometry
Kern,029,06029,21061589620,79574760,31845435639.837196,5041000000.0,108,3733537206.4284797,0.7406342405134854,0,"POLYGON ((-13147275 4258930, -13076275 4258930, -13076275 4187930, -13147275 4187930, -13147275 4258930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,116,5041000000.0,1.0,0,"POLYGON ((-13076275 4258930, -13005275 4258930, -13005275 4187930, -13076275 4187930, -13076275 4258930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,117,5041000000.0,1.0,0,"POLYGON ((-13076275 4187930, -13005275 4187930, -13005275 4116930, -13076275 4116930, -13076275 4187930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,118,5041000000.0,1.0,0,"POLYGON ((-13076275 4116930, -13005275 4116930, -13005275 4045930, -13076275 4045930, -13076275 4116930))"
Riverside,065,06065,18664206749,250926952,27427101456.703587,5041000000.0,119,3943027546.007861,0.7821915385851738,0,"POLYGON ((-13076275 4045930, -13005275 4045930, -13005275 3974930, -13076275 3974930, -13076275 4045930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,124,5041000000.0,1.0,0,"POLYGON ((-13005275 4258930, -12934275 4258930, -12934275 4187930, -13005275 4187930, -13005275 4258930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,125,5041000000.0,1.0,0,"POLYGON ((-13005275 4187930, -12934275 4187930, -12934275 4116930, -13005275 4116930, -13005275 4187930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,126,5041000000.0,1.0,0,"POLYGON ((-13005275 4116930, -12934275 4116930, -12934275 4045930, -13005275 4045930, -13005275 4116930))"
Riverside,065,06065,18664206749,250926952,27427101456.703587,5041000000.0,127,4142768419.0535483,0.8218148024307773,0,"POLYGON ((-13005275 4045930, -12934275 4045930, -12934275 3974930, -13005275 3974930, -13005275 4045930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,131,5041000000.0,1.0,0,"POLYGON ((-12934275 4258930, -12863275 4258930, -12863275 4187930, -12934275 4187930, -12934275 4258930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,132,5041000000.0,1.0,0,"POLYGON ((-12934275 4187930, -12863275 4187930, -12863275 4116930, -12934275 4116930, -12934275 4187930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,133,5041000000.0,1.0,0,"POLYGON ((-12934275 4116930, -12863275 4116930, -12863275 4045930, -12934275 4045930, -12934275 4116930))"
Riverside,065,06065,18664206749,250926952,27427101456.703587,5041000000.0,134,4157638519.9008827,0.824764633981528,0,"POLYGON ((-12934275 4045930, -12863275 4045930, -12863275 3974930, -12934275 3974930, -12934275 4045930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,2945117237.741001,137,2945101173.363264,0.9999945454199476,0,"POLYGON ((-12857915.06621122 4258930, -12857208.54367444 4258244.522370181, -12855738.769234 4256818.160535613, -12855636.46505472 4256718.937560235, -12855580.58181752 4256664.803859706, -12855450.22471353 4256538.721347698, -12855301.38830611 4256394.824615009, -12854388.8889368 4255512.299653307, -12854165.57880676 4255296.201587509, -12853252.30079739 4254412.943679005, -12853177.93834796 4254341.009140451, -12852756.03169994 4253933.115049314, -12852316.20247763 4253507.699319148, -12851863.6827819 4253070.107068541, -12851506.78787417 4252725.005245938, -12851254.75732914 4252481.289673773, -12850861.46062124 4252101.000171295, -12850626.23962222 4251873.599975397, -12849913.00700365 4251184.031091873, -12849557.22571232 4250840.084879154, -12848994.72183725 4250296.176201123, -12848552.4445307 4249868.711273083, -12848282.82575029 4249608.076847618, -12847229.28682266 4248582.445839958, -12847119.85862936 4248475.766043331, -12847104.71902207 4248460.976115692, -12846929.16638527 4248290.20868037, -12846934.17558229 4248264.600806237, -12846896.10410447 4248250.769628203, -12846889.09093816 4248248.304666462, -12846809.05154247 4248187.776816155, -12846797.02888303 4248171.754842025, -12846791.01755284 4248163.67539418, -12846770.31186041 4248135.876661614, -12846727.11946283 4248093.973225512, -12846597.87623607 4247968.26388661, -12846589.41587024 4247960.047640418, -12846554.79516267 4247926.361096189, -12846403.84443472 4247779.702598851, -12845951.3262908 4247339.738960817, -12845800.48693734 4247193.225292263, -12845786.46054746 4247179.53252712, -12845744.7153388 4247138.591263003, -12845730.91158991 4247125.035493842, -12845612.46653765 4247010.702142752, -12845319.58220074 4246722.751754528, -12845283.06906785 4246686.878297399, -12845268.37474923 4246671.132358001, -12845217.2786007 4246616.911729695, -12845118.20341661 4246530.515192154, -12845098.94496875 4246511.757249645, -12845041.39226885 4246455.894370432, -12845022.24514256 4246437.273474551, -12844779.23250821 4246201.228994027, -12844126.56063437 4245567.192842689, -12844050.30613374 4245493.126246251, -12843807.40495833 4245257.102226957, -12843665.3601085 4245119.241374501, -12843566.95286808 4245023.684429318, -12843241.45200629 4244702.931377735, -12843197.92573245 4244659.945984677, -12843177.33146674 4244640.643677374, -12843098.51665802 4244566.857158019, -12843087.16198217 4244556.179373089, -12843053.43191674 4244524.556763303, -12843042.18856174 4244514.015913779, -12843040.18479351 4244511.825610066, -12843034.50745051 4244505.665383052, -12843032.61500372 4244503.748868159, -12843011.01885323 4244482.941009476, -12842946.34172394 4244420.654564654, -12842924.85689509 4244399.98375719, -12842923.85501192 4244399.025508763, -12842920.40408111 4244395.740086164, -12842909.38335587 4244383.556660089, -12842896.24754298 4244369.182972117, -12842875.76459182 4244348.512266476, -12842864.40991311 4244337.15023928, -12842862.18350489 4244334.82307896, -12842855.83824189 4244328.252275782, -12842853.8344739 4244326.062009401, -12842824.44589235 4244296.356555856, -12842772.68196864 4244252.551391589, -12842573.52987214 4244059.53710457, -12842394.52677736 4243885.964056397, -12841943.67951375 4243448.758396625, -12841749.20296623 4243260.275331666, -12841458.32308834 4242978.309658621, -12840983.54222305 4242518.009531117, -12840325.75108586 4241880.218710679, -12839850.07997676 4241419.280681578, -12839249.73045976 4240837.251095057, -12839219.22874702 4240807.691992265, -12838930.57570438 4240527.979265077, -12838584.92682946 4240192.85345738, -12838428.85608892 4240041.646532579, -12838311.4134183 4239926.976980615, -12837987.36074534 4239610.478854951, -12837840.30697557 4239466.66886462, -12837758.04147396 4239386.349552377, -12837541.19007578 4239174.539280231, -12837384.89678344 4239021.430929572, -12836806.36682487 4238454.852948931, -12836428.21294494 4238084.356146936, -12836199.89576278 4237860.668639055, -12835965.45601709 4237631.102987606, -12835957.66362331 4237623.441762005, -12835749.05012752 4237419.326801785, -12835569.82510691 4237244.081012359, -12833355.89672752 4235077.066349437, -12833353.2250539 4235074.467612794, -12833193.14730362 4234924.562578651, -12832821.33951724 4234578.120226766, -12832495.95210797 4234274.769948721, -12832407.34165815 4234192.437378469, -12831966.40454497 4233781.604403741, -12831964.51211078 4233779.689772517, -12831959.0574477 4233774.219399379, -12831957.27633325 4233772.441528685, -12831909.85416974 4233727.721334496, -12831895.60525711 4233714.318987777, -12831767.81032636 4233593.835365452, -12831737.42007002 4233565.253180232, -12831720.6108066 4233549.115903442, -12831548.621994 4233383.641815195, -12831507.09977845 4233343.709601024, -12831391.3273862 4233232.255735202, -12831293.70009624 4233138.30716412, -12831227.79889597 4233074.991479771, -12830866.90081246 4232727.787377342, -12830852.65190767 4232714.112766701, -12830653.5012105 4232522.533273171, -12830481.28985103 4232351.058125669, -12830382.54940931 4232252.741452678, -12830316.42559916 4232186.832857437, -12830032.33782816 4231904.059533251, -12829570.02666574 4231443.679848742, -12829362.19293522 4231236.810395976, -12829299.18603394 4231174.053015012, -12829181.96649689 4231059.614015779, -12829180.29670291 4231057.973321876, -12829022.77948409 4230904.842973603, -12828823.51743287 4230710.698624679, -12828704.62812879 4230595.033970116, -12828657.09467233 4230548.686416804, -12828436.01400605 4230330.349667093, -12828200.57313911 4230097.799125762, -12827703.30875111 4229606.601793583, -12827630.95105882 4229535.104535645, -12827362.67102086 4229270.172277522, -12827302.22452691 4229210.433530261, -12827256.13824977 4229164.638598894, -12826961.80948811 4228872.239030312, -12826936.98524073 4228847.496832389, -12826830.56380903 4228741.967199687, -12826809.19046656 4228720.505984936, -12826702.21244361 4228614.430791155, -12826524.6578799 4228438.370093525, -12826318.49421288 4228230.190132229, -12826191.0334245 4228101.566133092, -12826177.3411307 4228087.760670872, -12826043.08988715 4227957.908181955, -12825732.17472475 4227657.339708887, -12825598.92538153 4227528.312372089, -12825450.87056592 4227385.20860756, -12825436.28772322 4227370.994007865, -12825027.30025088 4226972.719309215, -12824507.77272203 4226466.901107384, -12824398.01183227 4226360.027600993, -12823756.58978358 4225736.027267449, -12823467.048235 4225454.514362686, -12823352.16670826 4225342.867787826, -12823332.90846837 4225324.146257354, -12823269.56778488 4225262.652403063, -12822963.66236529 4224965.846887003, -12822261.3490958 4224284.399609364, -12821883.42026426 4223916.979387145, -12821856.59232893 4223890.881948984, -12821487.79174046 4223532.355854164, -12821442.37350136 4223488.224064667, -12821262.48165934 4223312.79169709, -12820586.99682523 4222653.85219201, -12820361.90947155 4222434.30551133, -12820314.82146801 4222388.675325393, -12820309.25551001 4222383.210644869, -12820151.29363388 4222230.337311292, -12820098.63967798 4222179.516618863, -12819782.82704294 4221785.527273672, -12819695.33014382 4221676.376681626, -12819670.39464219 4221645.503243888, -12819625.31039609 4221600.969174818, -12819546.49645801 4221523.513109757, -12819302.15100226 4221282.815365572, -12818569.11479576 4220561.026809546, -12818324.88076584 4220320.486640621, -12818274.2305944 4220270.630872936, -12818122.39140573 4220121.064920245, -12818071.85255798 4220071.346641475, -12817766.83838993 4219770.856314044, -12817571.02822158 4219578.000466935, -12816852.1300924 4218869.844111534, -12816547.22740966 4218569.523045872, -12816173.64097326 4218201.337010931, -12815562.72264484 4217599.510376409, -12815053.10467601 4217096.852536441, -12814679.74112668 4216728.715582773, -12814414.69089291 4216467.367639053, -12814286.45156389 4216340.928794317, -12813619.8743361 4215683.224361533, -12813355.04686543 4215421.901144514, -12813236.93760858 4215305.440907577, -12812980.12513697 4215052.454727764, -12812880.9400993 4214959.207650228, -12812812.81300532 4214895.314060449, -12812760.71581713 4214846.438444038, -12812691.80949451 4214781.180274855, -12812577.59643472 4214673.327660639, -12812485.09053935 4214585.817641547, -12812416.18422518 4214520.834051138, -12812254.43808328 4214380.356153098, -12812124.86306725 4214267.86590647, -12812076.77337224 4214226.09190718, -12811989.72212107 4214150.462257642, -12811681.70320396 4213882.895808606, -12811674.80144332 4213876.889289119, -12811630.1626371 4213838.120014779, -12811529.641837 4213750.889644633, -12811350.53003346 4213595.269096288, -12811244.44330932 4213503.12638281, -12811214.05330475 4213477.463069226, -12811122.99461189 4213400.609991746, -12811092.71592746 4213375.083421702, -12810724.91894816 4212997.242307758, -12809621.7510261 4211864.069419967, -12809277.88780092 4211510.846786424, -12809253.39770665 4211487.371805635, -12808739.8850171 4210994.408717269, -12808092.56753734 4210373.049945869, -12807689.70572769 4209986.304828638, -12807499.79631668 4209804.127180563, -12807199.68159369 4209516.06063217, -12806990.62544115 4209315.469218541, -12806776.11470168 4209109.559774477, -12806686.28068234 4209023.321835058, -12806652.10590762 4208990.573426647, -12806558.04179093 4208900.242902222, -12806216.07144897 4208571.811696789, -12806173.43647827 4208530.877871654, -12806045.30893403 4208407.804416072, -12806014.5850409 4208378.332483568, -12805669.94313755 4208047.324410303, -12805326.9710623 4207717.96346721, -12804544.18007205 4206966.227692039, -12804168.92583971 4206605.931058432, -12803514.81923266 4205977.315863356, -12803041.9390107 4205523.065381085, -12801147.96321913 4203703.386247199, -12800654.4837617 4203202.178312639, -12800001.59465866 4202539.25496396, -12799827.15691423 4202369.746098712, -12799688.00746443 4202234.468163531, -12798566.01746696 4201144.532132016, -12798246.53023674 4200834.057093911, -12797288.06841351 4199902.684346029, -12796968.69241464 4199592.244215413, -12796903.79307167 4199529.121092812, -12796709.09503706 4199340.026554376, -12796644.30701005 4199277.041204616, -12796509.38761067 4199145.891044362, -12796104.96334787 4198752.722555444, -12795970.15525237 4198621.714943072, -12795958.24404969 4198610.127455865, -12795922.51044149 4198575.365067155, -12795910.71055833 4198563.913951344, -12795817.2020492 4198473.123381726, -12795416.6739143 4198083.386752749, -12794667.26442479 4197354.390259042, -12794111.77389433 4196813.944686156, -12793934.88522287 4196641.934512902, -12793441.06636326 4196161.492380072, -12793437.50409839 4196157.948770835, -12793433.94183479 4196154.541455569, -12793426.70599291 4196148.271999408, -12793423.03241338 4196145.27356548, -12793366.81543247 4196090.620416312, -12793300.02297891 4196025.609415941, -12793198.49844899 4195926.798878997, -12793161.09467476 4195890.409565805, -12793142.504108 4195872.2830986, -12792851.40032591 4195589.077944465, -12792595.13993801 4195339.950629322, -12792326.52293878 4195078.563778888, -12792275 4195028.468113943, -12792275 4187930, -12863275 4187930, -12863275 4258930, -12857915.06621122 4258930))"
San Bernardino,071,06071,51948120575,123845026,77492999625.263,5041000000.0,138,5041000000.0,1.0,0,"POLYGON ((-12863275 4187930, -12792275 4187930, -12792275 4116930, -12863275 4116930, -12863275 4187930))"
