GRID_ID,GRID_ID_adj,multiplier
103.0,92.0,1.6
103.0,102.0,1.6
103.0,112.0,1.6
103.0,113.0,1.6
112.0,101.0,1.0
112.0,102.0,1.0
112.0,103.0,1.0
112.0,111.0,1.0
112.0,113.0,1.0
112.0,121.0,1.0
112.0,122.0,1.0
112.0,123.0,1.0
111.0,101.0,1.0
111.0,102.0,1.0
111.0,112.0,1.0
111.0,121.0,1.0
111.0,122.0,1.0
111.0,120.0,1.0
111.0,100.0,1.0
111.0,110.0,1.0
113.0,102.0,1.1428571428571428
113.0,103.0,1.1428571428571428
113.0,112.0,1.1428571428571428
113.0,114.0,1.1428571428571428
113.0,122.0,1.1428571428571428
113.0,123.0,1.1428571428571428
113.0,124.0,1.1428571428571428
114.0,113.0,2.0
114.0,115.0,2.0
114.0,123.0,2.0
114.0,124.0,2.0
115.0,114.0,8.0
121.0,112.0,1.0
121.0,111.0,1.0
121.0,122.0,1.0
121.0,120.0,1.0
121.0,128.0,1.0
121.0,129.0,1.0
121.0,130.0,1.0
121.0,110.0,1.0
122.0,112.0,1.0
122.0,111.0,1.0
122.0,113.0,1.0
122.0,121.0,1.0
122.0,123.0,1.0
122.0,129.0,1.0
122.0,130.0,1.0
122.0,131.0,1.0
123.0,112.0,1.0
123.0,113.0,1.0
123.0,114.0,1.0
123.0,122.0,1.0
123.0,124.0,1.0
123.0,132.0,1.0
123.0,130.0,1.0
123.0,131.0,1.0
11.0,12.0,1.6
11.0,18.0,1.6
11.0,19.0,1.6
11.0,10.0,1.6
11.0,17.0,1.6
12.0,11.0,2.0
12.0,18.0,2.0
12.0,19.0,2.0
12.0,20.0,2.0
18.0,11.0,1.0
18.0,12.0,1.0
18.0,19.0,1.0
18.0,28.0,1.0
18.0,27.0,1.0
18.0,10.0,1.0
18.0,17.0,1.0
18.0,26.0,1.0
19.0,11.0,1.1428571428571428
19.0,12.0,1.1428571428571428
19.0,18.0,1.1428571428571428
19.0,20.0,1.1428571428571428
19.0,28.0,1.1428571428571428
19.0,29.0,1.1428571428571428
19.0,27.0,1.1428571428571428
20.0,12.0,1.6
20.0,19.0,1.6
20.0,28.0,1.6
20.0,29.0,1.6
20.0,30.0,1.6
28.0,39.0,1.0
28.0,40.0,1.0
28.0,18.0,1.0
28.0,19.0,1.0
28.0,20.0,1.0
28.0,29.0,1.0
28.0,38.0,1.0
28.0,27.0,1.0
29.0,39.0,1.1428571428571428
29.0,40.0,1.1428571428571428
29.0,19.0,1.1428571428571428
29.0,20.0,1.1428571428571428
29.0,28.0,1.1428571428571428
29.0,30.0,1.1428571428571428
29.0,41.0,1.1428571428571428
72.0,87.0,1.0
72.0,88.0,1.0
72.0,56.0,1.0
72.0,57.0,1.0
72.0,71.0,1.0
72.0,73.0,1.0
72.0,89.0,1.0
72.0,58.0,1.0
87.0,72.0,1.0
87.0,88.0,1.0
87.0,70.0,1.0
87.0,86.0,1.0
87.0,71.0,1.0
87.0,99.0,1.0
