FIPS,County Name,Year,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared
1,Alameda,2016,10,4,6,20,7
1,Alameda,2016,25,0,4,29,3
1,Alameda,2016,1,1,1,3,1
1,Alameda,2016,13,4,7,24,5
1,Alameda,2016,1,0,2,3,0
1,Alameda,2016,11,1,9,21,5
1,Alameda,2016,6,11,3,20,2
1,Alameda,2016,11,0,3,14,2
1,Alameda,2016,0,1,0,1,0
1,Alameda,2016,79,109,3,191,14
1,Alameda,2016,0,0,0,0,0
1,Alameda,2016,1,0,1,2,0
1,Alameda,2016,8,13,2,23,2
1,Alameda,2016,7,0,4,11,2
1,Alameda,2016,0,0,0,0,0
1,Alameda,2016,0,0,0,0,0
1,Alameda,2016,0,0,0,0,0
1,Alameda,2016,0,0,0,0,0
1,Alameda,2016,0,0,3,3,0
1,Alameda,2016,0,0,1,1,0
1,Alameda,2016,5,0,0,5,1
1,Alameda,2016,0,0,0,0,0
1,Alameda,2017,7,13,10,30,7
1,Alameda,2017,13,1,11,25,5
1,Alameda,2017,3,0,0,3,0
1,Alameda,2017,9,5,16,30,5
1,Alameda,2017,5,0,1,6,0
1,Alameda,2017,15,1,10,26,7
1,Alameda,2017,12,22,3,37,4
1,Alameda,2017,20,0,2,22,12
1,Alameda,2017,3,0,0,3,0
1,Alameda,2017,84,106,6,196,8
1,Alameda,2017,0,0,0,0,0
1,Alameda,2017,2,0,3,5,1
1,Alameda,2017,3,11,6,20,0
1,Alameda,2017,2,1,1,4,0
1,Alameda,2017,11,0,0,11,0
1,Alameda,2017,0,0,0,0,0
1,Alameda,2017,0,0,0,0,0
1,Alameda,2017,1,2,0,3,0
1,Alameda,2017,1,0,0,1,0
1,Alameda,2017,16,0,1,17,14
1,Alameda,2017,0,0,0,0,0
1,Alameda,2018,9,7,7,23,3
1,Alameda,2018,11,2,5,18,1
1,Alameda,2018,1,2,0,3,0
1,Alameda,2018,14,6,11,31,12
1,Alameda,2018,1,0,5,6,1
1,Alameda,2018,16,0,6,22,7
1,Alameda,2018,7,10,4,21,2
1,Alameda,2018,6,1,1,8,3
1,Alameda,2018,6,1,0,7,1
1,Alameda,2018,104,133,8,245,24
1,Alameda,2018,1,0,0,1,0
1,Alameda,2018,1,1,2,4,1
1,Alameda,2018,13,8,6,27,5
1,Alameda,2018,4,2,4,10,3
1,Alameda,2018,13,0,0,13,2
1,Alameda,2018,0,0,0,0,0
1,Alameda,2018,0,0,0,0,0
1,Alameda,2018,0,2,0,2,0
1,Alameda,2018,2,0,0,2,1
1,Alameda,2018,1,0,0,1,0
1,Alameda,2018,0,0,0,0,0
1,Alameda,2019,10,5,6,21,4
1,Alameda,2019,16,5,8,29,2
1,Alameda,2019,1,0,0,1,1
1,Alameda,2019,6,4,7,17,4
1,Alameda,2019,1,0,2,3,1
1,Alameda,2019,8,0,9,17,6
1,Alameda,2019,11,13,3,27,5
1,Alameda,2019,2,0,2,4,2
1,Alameda,2019,5,0,1,6,4
1,Alameda,2019,81,123,3,207,3
1,Alameda,2019,0,0,1,1,0
1,Alameda,2019,2,0,2,4,1
1,Alameda,2019,3,7,6,16,0
1,Alameda,2019,8,0,1,9,2
1,Alameda,2019,12,0,0,12,1
1,Alameda,2019,0,0,0,0,0
1,Alameda,2019,0,0,0,0,0
1,Alameda,2019,2,0,2,4,1
1,Alameda,2019,3,0,0,3,1
1,Alameda,2019,0,0,0,0,0
1,Alameda,2019,0,0,0,0,0
3,Alpine,1985,0,0,0,0,0
3,Alpine,1985, , , , , 
3,Alpine,1986,0,0,0,0,0
3,Alpine,1986, , , , , 
3,Alpine,1987,0,0,0,0,0
3,Alpine,1987, , , , , 
3,Alpine,1988,0,0,0,0,0
3,Alpine,1988, , , , , 
3,Alpine,1989,0,0,0,0,0
3,Alpine,1989, , , , , 
3,Alpine,1990,0,0,0,0,0
3,Alpine,1990, , , , , 
3,Alpine,1991,0,0,0,0,0
3,Alpine,1991, , , , , 
3,Alpine,1992,0,0,0,0,0
3,Alpine,1992, , , , , 
3,Alpine,1993,0,0,0,0,0
3,Alpine,1993, , , , , 
3,Alpine,1994,0,0,0,0,0
3,Alpine,1994, , , , , 
3,Alpine,1995,0,0,0,0,0
3,Alpine,1995,0,0,0,0,0
3,Alpine,1996,0,0,0,0,0
3,Alpine,1996,0,0,0,0,0
3,Alpine,1997,0,0,0,0,0
3,Alpine,1997,0,0,0,0,0
3,Alpine,1998,0,0,0,0,0
3,Alpine,1998,0,0,0,0,0
3,Alpine,1999,0,0,0,0,0
3,Alpine,1999,0,0,0,0,0
3,Alpine,2000,0,0,0,0,0
3,Alpine,2000,0,0,0,0,0
3,Alpine,2001,0,0,0,0,0
3,Alpine,2001,0,0,0,0,0
3,Alpine,2002,0,0,0,0,0
3,Alpine,2002,0,0,0,0,0
3,Alpine,2003,0,0,0,0,0
3,Alpine,2003,0,0,0,0,0
