ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT08,WT11,WT14,WT16,WT18
USC00048025,1931,6,29,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,3,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,30,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,31,,,,,-9999.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,4,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,5,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,6,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,7,,,,,0.0,,,,,,,1.0,,,,,,,-9999.0,
USC00048025,1931,6,8,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,9,,,,,0.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,7,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,10,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,11,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,12,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,13,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,14,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,15,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,16,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,17,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,18,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,20,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,24,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,31,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,7,9,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,10,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,11,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,12,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,13,,,,,203.0,,,,,,,,,,,,,,,
USC00048025,1933,3,14,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,15,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,16,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,17,,,,,945.0,,,,,,,,,,,,,,,
USC00048025,1933,3,18,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,20,,,,,203.0,,,,,,,,,,,,,,,
USC00048025,1933,3,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,24,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,31,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,3,9,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,1,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,10,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,11,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,12,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,13,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,14,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1933,4,15,,,,,0.0,,,,,,,,,,,,,,,
