ID,YEAR,MONTH,DAY,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
USC00044405,1959,9,2,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,20,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,21,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,22,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,23,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,24,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,25,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,26,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,27,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,28,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,29,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,3,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,30,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,31,,,-9999.0,-9999.0,-9999.0,,,,,,,-9999.0,,,
USC00044405,1959,9,4,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,5,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,6,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,7,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,8,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,9,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,10,1,,,13.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,10,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,11,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,12,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,13,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,14,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,15,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,16,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,17,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,18,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,19,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,2,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,20,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,21,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,22,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,23,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,24,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,25,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,26,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,27,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,28,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,29,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,3,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,30,,,28.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,31,,,41.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,4,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,5,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,6,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,7,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,8,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,10,9,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,11,1,,,28.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,10,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,11,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,11,12,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
