ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT08,WT11,WT16,WT18
USC00045598,1942,9,11,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,12,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,13,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,14,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,15,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,16,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,17,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,18,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,19,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,2,,,,,0.0,,,,,,1.0,,,,,,
USC00045598,1942,9,20,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,21,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,22,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,23,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,24,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,25,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,26,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,27,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,28,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,29,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,3,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,30,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,31,,,,,-9999.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,4,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,5,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,6,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,7,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,8,,,,,0.0,,,,,,-9999.0,,,,,,
