ID,YEAR,MONTH,DAY,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14
USC00040673,1973,3,2,0.0,0.0,0.0,189.0,11.0,161.0,,,,,,
USC00040673,1973,3,20,191.0,0.0,0.0,144.0,28.0,94.0,,,,,,
USC00040673,1973,3,21,224.0,0.0,0.0,128.0,33.0,78.0,,,,,,
USC00040673,1973,3,22,13.0,0.0,0.0,183.0,-6.0,150.0,,,,,,
USC00040673,1973,3,23,0.0,0.0,0.0,206.0,17.0,178.0,,,,,,
USC00040673,1973,3,24,0.0,0.0,0.0,206.0,-6.0,156.0,,,,,,
USC00040673,1973,3,25,0.0,0.0,0.0,161.0,72.0,117.0,,,,,,
USC00040673,1973,3,26,0.0,0.0,0.0,167.0,67.0,111.0,,,,,,
USC00040673,1973,3,27,0.0,0.0,0.0,189.0,78.0,128.0,,,,,,
USC00040673,1973,3,28,0.0,0.0,0.0,172.0,50.0,117.0,,,,,,
USC00040673,1973,3,29,0.0,0.0,0.0,194.0,28.0,117.0,,,,,,
USC00040673,1973,3,3,198.0,0.0,0.0,172.0,28.0,106.0,,,,,,
USC00040673,1973,3,30,28.0,0.0,0.0,139.0,61.0,117.0,,,,,,
USC00040673,1973,3,31,13.0,0.0,0.0,178.0,72.0,133.0,,,,,,
USC00040673,1973,3,4,48.0,0.0,0.0,133.0,44.0,100.0,,,,,,
USC00040673,1973,3,5,8.0,0.0,0.0,172.0,11.0,133.0,,,,,,
USC00040673,1973,3,6,292.0,0.0,0.0,156.0,61.0,139.0,,,,,,
USC00040673,1973,3,7,0.0,0.0,0.0,167.0,17.0,117.0,,,,,,
USC00040673,1973,3,8,107.0,0.0,0.0,150.0,50.0,128.0,,,,,,
USC00040673,1973,3,9,0.0,0.0,0.0,172.0,39.0,128.0,,,,,,
USC00040673,1973,4,1,0.0,0.0,0.0,183.0,44.0,139.0,,,,,,
USC00040673,1973,4,10,0.0,0.0,0.0,289.0,67.0,261.0,,,,,,
USC00040673,1973,4,11,0.0,0.0,0.0,272.0,50.0,239.0,,,,,,
USC00040673,1973,4,12,0.0,0.0,0.0,244.0,44.0,167.0,,,,,,
USC00040673,1973,4,13,28.0,0.0,0.0,183.0,78.0,122.0,,,,,,
USC00040673,1973,4,14,5.0,0.0,0.0,200.0,72.0,128.0,,,,,,
USC00040673,1973,4,15,0.0,0.0,0.0,222.0,67.0,167.0,,,,,,
USC00040673,1973,4,16,0.0,0.0,0.0,233.0,33.0,144.0,,,,,,
USC00040673,1973,4,17,0.0,0.0,0.0,183.0,89.0,111.0,,,,,,
USC00040673,1973,4,18,0.0,0.0,0.0,189.0,11.0,139.0,,,,,,
USC00040673,1973,4,19,0.0,0.0,0.0,206.0,56.0,144.0,,,,,,
USC00040673,1973,4,2,0.0,0.0,0.0,194.0,6.0,167.0,,,,,,
USC00040673,1973,4,20,0.0,0.0,0.0,211.0,17.0,194.0,,,,,,
USC00040673,1973,4,21,0.0,0.0,0.0,261.0,22.0,228.0,,,,,,
USC00040673,1973,4,22,0.0,0.0,0.0,294.0,28.0,272.0,,,,,,
USC00040673,1973,4,23,0.0,0.0,0.0,272.0,56.0,194.0,,,,,,
USC00040673,1973,4,24,0.0,0.0,0.0,256.0,39.0,189.0,,,,,,
USC00040673,1973,4,25,0.0,0.0,0.0,256.0,50.0,178.0,,,,,,
USC00040673,1973,4,26,0.0,0.0,0.0,250.0,56.0,167.0,,,,,,
USC00040673,1973,4,27,0.0,0.0,0.0,211.0,78.0,156.0,,,,,,
USC00040673,1973,4,28,0.0,0.0,0.0,206.0,78.0,133.0,,,,,,
USC00040673,1973,4,29,0.0,0.0,0.0,189.0,78.0,150.0,,,,,,
USC00040673,1973,4,3,0.0,0.0,0.0,233.0,6.0,217.0,,,,,,
USC00040673,1973,4,30,0.0,0.0,0.0,250.0,61.0,200.0,,,,,,
USC00040673,1973,4,31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00040673,1973,4,4,0.0,0.0,0.0,267.0,22.0,250.0,,,,,,
USC00040673,1973,4,5,0.0,0.0,0.0,261.0,28.0,217.0,,,,,,
USC00040673,1973,4,6,0.0,0.0,0.0,244.0,72.0,228.0,,,,,,
USC00040673,1973,4,7,0.0,0.0,0.0,283.0,50.0,239.0,,,,,,
USC00040673,1973,4,8,0.0,0.0,0.0,267.0,17.0,194.0,,,,,,
USC00040673,1973,4,9,0.0,0.0,0.0,222.0,50.0,194.0,,,,,,
USC00040673,1973,5,1,0.0,0.0,0.0,217.0,28.0,167.0,,,,,,
USC00040673,1973,5,10,0.0,0.0,0.0,333.0,50.0,306.0,,,,,,
