ID,YEAR,MONTH,DAY,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11
USC00041534,2010,4,17,,,0.0,0.0,0.0,222.0,44.0,194.0,,,,,
USC00041534,2010,4,18,,,0.0,0.0,0.0,250.0,67.0,228.0,,,,,
USC00041534,2010,4,19,,,0.0,0.0,0.0,228.0,100.0,200.0,,,,,
USC00041534,2010,4,2,,,0.0,0.0,0.0,156.0,22.0,133.0,,,,,
USC00041534,2010,4,20,,,127.0,0.0,0.0,206.0,83.0,100.0,,,,,
USC00041534,2010,4,21,,,142.0,0.0,0.0,128.0,56.0,83.0,,,,,
USC00041534,2010,4,22,,,15.0,0.0,0.0,156.0,72.0,144.0,,,,,
USC00041534,2010,4,23,,,0.0,0.0,0.0,194.0,50.0,189.0,,,,,
USC00041534,2010,4,24,,,0.0,0.0,0.0,211.0,72.0,200.0,,,,,
USC00041534,2010,4,25,,,0.0,0.0,0.0,278.0,61.0,267.0,,,,,
USC00041534,2010,4,26,,,0.0,0.0,0.0,267.0,72.0,222.0,,,,,
USC00041534,2010,4,27,,,13.0,0.0,0.0,267.0,72.0,156.0,,,,,
USC00041534,2010,4,28,,,36.0,0.0,0.0,156.0,50.0,117.0,,,,,
USC00041534,2010,4,29,,,5.0,0.0,0.0,144.0,67.0,133.0,,,,,
USC00041534,2010,4,3,,,3.0,0.0,0.0,139.0,22.0,133.0,,,,,
USC00041534,2010,4,30,,,0.0,0.0,0.0,172.0,56.0,167.0,,,,,
USC00041534,2010,4,31,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,
USC00041534,2010,4,4,,,0.0,0.0,0.0,139.0,28.0,122.0,,,,,
USC00041534,2010,4,5,,,267.0,0.0,0.0,144.0,17.0,139.0,,,,,
USC00041534,2010,4,6,,,0.0,0.0,0.0,161.0,11.0,156.0,,,,,
USC00041534,2010,4,7,,,0.0,0.0,0.0,233.0,28.0,222.0,,,,,
USC00041534,2010,4,8,,,0.0,0.0,0.0,222.0,33.0,144.0,,,,,
USC00041534,2010,4,9,,,0.0,0.0,0.0,206.0,22.0,183.0,,,,,
USC00041534,2010,5,1,,,0.0,0.0,0.0,178.0,22.0,156.0,,,,,
USC00041534,2010,5,10,,,0.0,0.0,0.0,172.0,83.0,122.0,,,,,
USC00041534,2010,5,11,,,28.0,0.0,0.0,172.0,67.0,156.0,,,,,
USC00041534,2010,5,12,,,0.0,0.0,0.0,161.0,39.0,122.0,,,,,
USC00041534,2010,5,13,,,0.0,0.0,0.0,183.0,83.0,172.0,,,,,
USC00041534,2010,5,14,,,0.0,0.0,0.0,172.0,72.0,150.0,,,,,
USC00041534,2010,5,15,,,0.0,0.0,0.0,194.0,72.0,161.0,,,,,
USC00041534,2010,5,16,,,0.0,0.0,0.0,172.0,78.0,139.0,,,,,
USC00041534,2010,5,17,,,0.0,0.0,0.0,183.0,89.0,161.0,,,,,
USC00041534,2010,5,18,,,18.0,0.0,0.0,189.0,111.0,183.0,,,,,
USC00041534,2010,5,19,,,0.0,0.0,0.0,217.0,67.0,206.0,,,,,
