Unnamed: 0,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID,geometry,x2,y2
88989,USC00041072,38.2575,-119.2286,1972.1,CA,BRIDGEPORT,,,,POINT (-13272467.0399949 4615866.062801589),-13272467.039994897,4615866.062801589
89004,USC00041194,34.1867,-118.3481,199.6,CA,BURBANK VALLEY PUMP PLT,,,,POINT (-13174450.22835142 4053898.90949288),-13174450.228351422,4053898.90949288
89010,USC00041244,35.4028,-119.47,68.6,CA,BUTTONWILLOW,,,,POINT (-13299339.56507239 4218755.681184021),-13299339.565072393,4218755.681184021
89013,USC00041253,34.5822,-119.9817,242.3,CA,CACHUMA LAKE,,,,POINT (-13356301.74851131 4107247.751256704),-13356301.74851131,4107247.7512567043
89016,USC00041277,38.2769,-120.3114,1431.0,CA,CALAVERAS BIG TREES,,,,POINT (-13393003.78462585 4618616.684059915),-13393003.784625854,4618616.684059915
89021,USC00041312,38.5961,-122.6014,121.9,CA,CALISTOGA,,,,POINT (-13647925.41854245 4663980.39427448),-13647925.41854245,4663980.39427448
89027,USC00041424,32.6264,-116.47,801.6,CA,CAMPO,,,,POINT (-12965381.09269257 3845819.159494434),-12965381.092692573,3845819.1594944336
89035,USC00041497,40.1706,-121.0886,1389.9,CA,CANYON DAM,,,,POINT (-13479521.29287039 4890764.464641972),-13479521.292870387,4890764.464641972
89039,USC00041534,36.4806,-121.7244,146.3,CA,CARMEL VALLEY,,,,POINT (-13550298.22511675 4366954.301482544),-13550298.22511675,4366954.301482544
89050,USC00041614,41.53,-120.1792,1428.9,CA,CEDARVILLE,,HCN,,POINT (-13378287.34794298 5090833.670806818),-13378287.347942982,5090833.670806818
89057,USC00041697,37.9747,-119.9161,1452.4,CA,CHERRY VALLEY DAM,,,,POINT (-13348999.18991527 4575852.387642072),-13348999.189915271,4575852.387642072
89058,USC00041700,40.3033,-121.2422,1380.7,CA,CHESTER,,,,POINT (-13496619.96665623 4910115.393292842),-13496619.96665623,4910115.3932928415
89059,USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIV FARM,,HCN,,POINT (-13561062.81987646 4821154.786498128),-13561062.819876458,4821154.7864981275
89065,USC00041758,32.64,-117.0858,17.1,CA,CHULA VISTA,,HCN,,POINT (-13033931.63512307 3847616.894982581),-13033931.63512307,3847616.8949825806
89074,USC00041806,38.9239,-122.5672,411.2,CA,CLEARLAKE 4 SE,,,,POINT (-13644118.29195732 4710776.75526161),-13644118.29195732,4710776.75526161
89077,USC00041838,38.8,-123.0175,100.6,CA,CLOVERDALE,,,,POINT (-13694245.45866153 4693063.644295792),-13694245.45866153,4693063.644295792
89079,USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,,,,POINT (-13398480.70357288 4319295.800161688),-13398480.703572882,4319295.800161688
89093,USC00041912,39.0911,-120.9481,725.4,CA,COLFAX,,HCN,,POINT (-13463880.90441393 4734729.279460487),-13463880.904413931,4734729.279460487
89096,USC00041948,39.1875,-122.0269,15.2,CA,COLUSA 2 SSW,,,,POINT (-13583972.37108171 4748565.036558556),-13583972.371081714,4748565.036558556
89103,USC00041990,41.9797,-122.3378,823.9,CA,COPCO #1 DAM,,,,POINT (-13618581.60076934 5157939.087369629),-13618581.600769343,5157939.087369629
89105,USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIG DIST,,,,POINT (-13311773.952194 4314045.52838395),-13311773.952194002,4314045.52838395
89126,USC00042214,34.005,-118.4139,28.0,CA,CULVER CITY,,,,POINT (-13181775.05084562 4029473.423734412),-13181775.050845616,4029473.423734412
89130,USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,HCN,,POINT (-12978427.73701354 3893936.890454907),-12978427.737013543,3893936.8904549074
89135,USC00042294,38.535,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,HCN,,POINT (-13556053.44279076 4655281.505399953),-13556053.442790762,4655281.505399953
89138,USC00042319,36.4622,-116.8669,-59.1,CA,DEATH VALLEY,,HCN,,POINT (-13009563.79858842 4364407.178073783),-13009563.798588425,4364407.178073783
89151,USC00042402,39.8717,-121.6108,826.0,CA,DE SABLA,,,,POINT (-13537652.33096263 4847315.551560665),-13537652.330962634,4847315.551560665
89161,USC00042500,39.5633,-120.8239,888.5,CA,DOWNIEVILLE,,,,POINT (-13450055.02365741 4802683.684172818),-13450055.023657406,4802683.684172818
89170,USC00042574,41.1833,-122.2736,661.4,CA,DUNSMUIR TRTMT PL,,,,POINT (-13611434.88946042 5039416.082836444),-13611434.889460417,5039416.0828364445
89173,USC00042598,33.8089,-115.4508,296.6,CA,EAGLE MTN,,,,POINT (-12851924.26767607 4003170.738244536),-12851924.267676068,4003170.738244536
89179,USC00042706,32.8006,-116.9281,150.9,CA,EL CAJON,,,,POINT (-13016376.55142497 3868866.758690426),-13016376.55142497,3868866.758690426
