,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
89797,USC00047888,33.7442,-117.8667,41.1,CA,SANTA ANA FIRE STN,,,
89801,USC00047902,34.4167,-119.6844,4.9,CA,SANTA BARBARA,,HCN,
89805,USC00047916,36.9878,-121.9994,21.3,CA,SANTA CRUZ,,HCN,
89815,USC00047965,38.4558,-122.7133,50.6,CA,SANTA ROSA,,HCN,
89820,USC00048025,41.3011,-123.1331,661.1,CA,SAWYERS BAR RS,,,
89821,USC00048045,40.4833,-124.1039,41.5,CA,SCOTIA,,,
89831,USC00048135,40.7142,-122.4161,327.7,CA,SHASTA DAM,,,
89841,USC00048218,39.5833,-120.3706,1516.4,CA,SIERRAVILLE RS,,,
89863,USC00048353,37.9672,-120.3872,510.5,CA,SONORA,,,
89865,USC00048380,37.5122,-119.6331,1538.3,CA,SO ENTRANCE YOSEMITE NP,,,
89894,USC00048587,39.5861,-122.5342,243.8,CA,STONY GORGE RSVR,,,
89895,USC00048606,39.5631,-121.1078,1160.7,CA,STRAWBERRY VALLEY,,,
89903,USC00048702,40.4167,-120.6631,1283.8,CA,SUSANVILLE 2SW,,HCN,
89905,USC00048713,38.3772,-120.8008,483.4,CA,SUTTER HILL CDF,,,
89908,USC00048758,39.1678,-120.1428,1898.9,CA,TAHOE CITY,,HCN,
89914,USC00048839,35.0233,-118.7497,434.3,CA,TEJON RANCHO,,HCN,
89922,USC00048917,36.4650,-118.8619,347.5,CA,THREE RIVERS EDISON PH 1,,,
89930,USC00048999,37.6819,-121.3467,41.1,CA,TRACY CARBONA,,,
89931,USC00049001,37.7958,-121.5831,18.6,CA,TRACY PUMPING PLT,,,
89934,USC00049026,40.7264,-122.7947,567.2,CA,TRINITY RVR HATCHERY,,,
89935,USC00049035,35.7636,-117.3908,516.6,CA,TRONA,,,
89942,USC00049053,41.9600,-121.4744,1229.9,CA,TULELAKE,,,
89946,USC00049073,37.5006,-120.8550,35.1,CA,TURLOCK #2,,,
89949,USC00049099,34.1281,-116.0369,602.0,CA,TWENTYNINE PALMS,,,
89952,USC00049111,34.9881,-120.3211,177.4,CA,TWITCHELL DAM,,,
89958,USC00049152,34.0697,-118.4428,131.1,CA,U C L A,,,
89979,USC00049325,34.5292,-117.2928,877.8,CA,VICTORVILLE,,,
89982,USC00049367,36.3283,-119.2997,92.4,CA,VISALIA,,,
89984,USC00049378,33.2353,-117.2322,131.1,CA,VISTA,,,
89998,USC00049452,35.5892,-119.3519,88.7,CA,WASCO,,HCN,
90001,USC00049473,36.9308,-121.7692,29.0,CA,WATSONVILLE WTR WKS,,,
90004,USC00049490,40.7367,-122.9403,627.3,CA,WEAVERVILLE,,HCN,
90021,USC00049621,40.6117,-122.5281,394.7,CA,WHISKEYTOWN RSVR,,,
90031,USC00049694,40.9467,-123.6364,141.4,CA,WILLOW CREEK 1 NW,,,
90032,USC00049699,39.5231,-122.3047,71.3,CA,WILLOWS 6 W,,HCN,
90035,USC00049742,38.5253,-121.9778,41.1,CA,WINTERS,,,
90040,USC00049785,34.1819,-118.5744,240.8,CA,WOODLAND HILLS PIERCE COLLEGE,,,
90046,USC00049855,37.7503,-119.5897,1224.7,CA,YOSEMITE PARK HQ,,HCN,
90048,USC00049866,41.7036,-122.6408,800.1,CA,YREKA,,HCN,
112350,USS0019L03S,38.8500,-119.9400,2370.1,CA,Hagan's Meadow,,,
112351,USS0019L05S,38.6100,-119.9200,2455.8,CA,Blue Lakes,,,
112352,USS0019L06S,38.5100,-119.6300,2357.9,CA,Poison Flat,,,
112353,USS0019L07S,38.3100,-119.6000,2690.5,CA,Sonora Pass,,,
112354,USS0019L08S,38.3000,-119.5500,2194.0,CA,Leavitt Meadows,,,
112355,USS0019L13S,38.0700,-119.2300,2878.8,CA,Virginia Lakes Ridge,,,
112356,USS0019L17S,38.4400,-119.3700,2814.2,CA,Lobdell Lake,,,
112357,USS0019L19S,38.5500,-119.8000,2671.6,CA,Ebbetts Pass,,,
112358,USS0019L24S,38.9200,-119.9200,2615.8,CA,Heavenly Valley,,,
112359,USS0019L38S,38.2800,-119.6100,2931.3,CA,Leavitt Lake,,,
112360,USS0019L39S,38.6700,-119.8200,1863.9,CA,Spratt Creek,,,
112361,USS0019L40S,38.6700,-119.6100,2532.9,CA,Monitor Pass,,,
112389,USS0020H06S,41.5800,-120.3000,2142.7,CA,Cedar Pass,,,
112390,USS0020H12S,41.9900,-120.1800,2243.3,CA,Dismal Swamp,,,
112391,USS0020H13S,41.2400,-120.7900,1886.7,CA,Adin Mtn,,,
112392,USS0020K03S,39.4900,-120.2800,1967.8,CA,Independence Creek,,,
112393,USS0020K04S,39.4500,-120.2900,2134.5,CA,Independence Camp,,,
112395,USS0020K13S,39.3000,-120.1800,1983.9,CA,Truckee #2,,,
112396,USS0020K25S,39.1400,-120.2200,2028.4,CA,Ward Creek #3,,,
112397,USS0020K27S,39.1700,-120.1500,2071.7,CA,Tahoe City Cross,,,
112398,USS0020K30S,39.1900,-120.2600,2447.2,CA,Squaw Valley G.C.,,,
112399,USS0020K31S,39.3300,-120.3700,2089.4,CA,Css Lab,,,
112400,USS0020L02S,39.0000,-120.1300,2343.6,CA,Rubicon #2,,,
112401,USS0020L06S,38.8500,-120.0800,2337.8,CA,Echo Peak,,,
112402,USS0020L10S,38.9300,-120.0500,1900.7,CA,Fallen Leaf,,,
112614,USW00003122,33.8017,-118.3411,27.4,CA,TORRANCE AP,,,
